timestamp,server_cpu_percent,server_ram_percent,disk_usage_percent,container_ram_mb,container_cpu_cores,container_count
2026-03-16 23:42:24.282999992,1.35833333336956,12.1150437122856,19.6255436914024,1106.84375,0.100960957377786,10
2026-03-16 23:43:24.282999992,1.27500000008797,12.2139704722593,19.6256099512647,1120.7265625,0.0943368355769565,10
2026-03-16 23:44:24.282999992,1.30277777763291,12.0759838860237,19.625680108766,1152.88671875,0.0953757395066386,10
2026-03-16 23:45:24.282999992,1.23611111109817,12.5705928860028,19.6257463686283,1132.27734375,0.102421289085762,10
2026-03-16 23:46:24.282999992,1.27500000008796,12.3911160843157,19.6258126284905,1145.90625,0.0991108366878162,10
2026-03-16 23:47:24.282999992,1.19999999988876,12.3721193688131,19.6259100694645,1181.3671875,0.104991714081669,10
2026-03-16 23:48:24.282999992,1.25555555543139,12.5553905536228,19.6259997151605,1171.48828125,0.103388270376911,10
2026-03-16 23:49:24.282999992,1.35555555565387,12.3526018556269,19.6260698726618,1155.55078125,0.0991387235335904,10
2026-03-16 23:50:24.282999992,1.39722222216531,12.5687080943864,19.6261361325241,1167.171875,0.0935194244652977,10
2026-03-16 23:51:24.282999992,1.1805555554262,12.6271862342756,19.6262101876643,1170.36328125,0.0937121014190699,10
2026-03-16 23:52:24.282999992,1.25833333340577,12.574660067912,19.6262803451655,1201.92578125,0.11387734659168,10
2026-03-16 23:53:24.282999992,1.38888888888889,12.5469833910179,19.6263427073889,1166.49609375,0.0940733018761726,10
2026-03-16 23:54:24.282999992,1.27777777773898,12.4805692864278,19.6264128648901,1163.7578125,0.0960332022768359,10
2026-03-16 23:55:24.282999992,1.44722222221188,12.4475110334709,19.6264830223914,1150.47265625,0.095260269704776,10
2026-03-16 23:56:24.282999992,1.31388888888372,12.4258855296612,19.6265609751706,1146.73828125,0.0979759266276091,10
2026-03-16 23:57:24.282999992,1.28611111114473,12.3595706246299,19.6266233373939,1144.76171875,0.0968424962364639,10
